identificatie,underpass_candidate_elevations,underpass_candidate_peaks
NL.IMBAG.Pand.0363100012165755,"[0.9254, 5.0366]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 4, ""display_order"": 1, ""elevation"": 0.9254, ""z_min"": 0.4254, ""z_max"": 1.4254, ""point_count"": 721128, ""area_m2"": 453.5, ""largest_contiguous_area_m2"": 441.25, ""related_wall_area_m2"": 7.25, ""corrected_area_m2"": 446.25, ""corrected_largest_contiguous_area_m2"": 434.0, ""raw_count"": 387374, ""smoothed_count"": 209276.33333333334}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 21, ""display_order"": 2, ""elevation"": 5.0366, ""z_min"": 4.5366, ""z_max"": 5.5366, ""point_count"": 404294, ""area_m2"": 374.0, ""largest_contiguous_area_m2"": 344.75, ""related_wall_area_m2"": 7.25, ""corrected_area_m2"": 366.75, ""corrected_largest_contiguous_area_m2"": 330.5, ""raw_count"": 326480, ""smoothed_count"": 126974.58333333331}, {""rank"": null, ""raw_surface_rank"": 3, ""peak_idx"": 39, ""display_order"": null, ""elevation"": 8.9194, ""z_min"": 8.4194, ""z_max"": 9.4194, ""point_count"": 1346, ""area_m2"": 35.5, ""largest_contiguous_area_m2"": 15.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 455, ""smoothed_count"": 346.75}, {""rank"": null, ""raw_surface_rank"": 4, ""peak_idx"": 54, ""display_order"": null, ""elevation"": 12.8022, ""z_min"": 12.3022, ""z_max"": 13.3022, ""point_count"": 1186, ""area_m2"": 37.25, ""largest_contiguous_area_m2"": 14.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 414, ""smoothed_count"": 304.5833333333333}, {""rank"": null, ""raw_surface_rank"": 5, ""peak_idx"": 69, ""display_order"": null, ""elevation"": 15.9998, ""z_min"": 15.4998, ""z_max"": 16.4998, ""point_count"": 304, ""area_m2"": 22.5, ""largest_contiguous_area_m2"": 7.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 89, ""smoothed_count"": 73.41666666666667}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 99, ""display_order"": null, ""elevation"": 22.8518, ""z_min"": 22.3518, ""z_max"": 22.966, ""point_count"": 5, ""area_m2"": 1.0, ""largest_contiguous_area_m2"": 0.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 3, ""smoothed_count"": 1.5}]"
NL.IMBAG.Pand.0363100012170850,"[2.356515, 8.510985, 4.9941450000000005]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 14, ""display_order"": 1, ""elevation"": 2.356515, ""z_min"": 1.856515, ""z_max"": 2.856515, ""point_count"": 417064, ""area_m2"": 374.5, ""largest_contiguous_area_m2"": 368.75, ""related_wall_area_m2"": 4.75, ""corrected_area_m2"": 369.75, ""corrected_largest_contiguous_area_m2"": 364.0, ""raw_count"": 382495, ""smoothed_count"": 136888.58333333334}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 35, ""display_order"": 3, ""elevation"": 8.510985, ""z_min"": 8.010985, ""z_max"": 9.010985, ""point_count"": 201418, ""area_m2"": 344.75, ""largest_contiguous_area_m2"": 322.5, ""related_wall_area_m2"": 4.75, ""corrected_area_m2"": 319.5, ""corrected_largest_contiguous_area_m2"": 307.0, ""raw_count"": 174693, ""smoothed_count"": 64561.833333333336}, {""rank"": null, ""raw_surface_rank"": 3, ""peak_idx"": 71, ""display_order"": null, ""elevation"": 19.061505, ""z_min"": 18.561505, ""z_max"": 19.561505, ""point_count"": 5434, ""area_m2"": 118.0, ""largest_contiguous_area_m2"": 40.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 5110, ""smoothed_count"": 1790.5833333333333}, {""rank"": 3, ""raw_surface_rank"": 4, ""peak_idx"": 24, ""display_order"": 2, ""elevation"": 4.9941450000000005, ""z_min"": 4.4941450000000005, ""z_max"": 5.4941450000000005, ""point_count"": 84968, ""area_m2"": 36.5, ""largest_contiguous_area_m2"": 18.0, ""related_wall_area_m2"": 8.0, ""corrected_area_m2"": 28.5, ""corrected_largest_contiguous_area_m2"": 13.75, ""raw_count"": 28316, ""smoothed_count"": 25781.583333333336}, {""rank"": null, ""raw_surface_rank"": 5, ""peak_idx"": 58, ""display_order"": null, ""elevation"": 15.544664999999998, ""z_min"": 15.044664999999998, ""z_max"": 16.044665, ""point_count"": 3715, ""area_m2"": 97.25, ""largest_contiguous_area_m2"": 16.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 3094, ""smoothed_count"": 1326.6666666666667}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 45, ""display_order"": null, ""elevation"": 11.441685, ""z_min"": 10.941685, ""z_max"": 11.941685, ""point_count"": 11813, ""area_m2"": 48.75, ""largest_contiguous_area_m2"": 3.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 6982, ""smoothed_count"": 3977.4166666666665}, {""rank"": null, ""raw_surface_rank"": 7, ""peak_idx"": 82, ""display_order"": null, ""elevation"": 22.285275, ""z_min"": 21.785275, ""z_max"": 22.785275, ""point_count"": 49, ""area_m2"": 1.5, ""largest_contiguous_area_m2"": 1.5, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 18, ""smoothed_count"": 13.833333333333334}, {""rank"": null, ""raw_surface_rank"": 8, ""peak_idx"": 0, ""display_order"": null, ""elevation"": -1.7464650000000002, ""z_min"": -1.893, ""z_max"": -1.2464650000000002, ""point_count"": 5, ""area_m2"": 1.0, ""largest_contiguous_area_m2"": 1.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 5, ""smoothed_count"": 1.6666666666666665}, {""rank"": null, ""raw_surface_rank"": 9, ""peak_idx"": 95, ""display_order"": null, ""elevation"": 25.802115, ""z_min"": 25.302115, ""z_max"": 26.302115, ""point_count"": 3, ""area_m2"": 0.75, ""largest_contiguous_area_m2"": 0.5, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 2, ""smoothed_count"": 1.0833333333333335}]"
NL.IMBAG.Pand.0363100012095711,"[-0.47929000000000005, 3.22331, 1.9891100000000002]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 0, ""display_order"": 1, ""elevation"": -0.47929000000000005, ""z_min"": -0.541, ""z_max"": 0.02070999999999995, ""point_count"": 206301, ""area_m2"": 63.0, ""largest_contiguous_area_m2"": 63.0, ""related_wall_area_m2"": 0.0, ""corrected_area_m2"": 63.0, ""corrected_largest_contiguous_area_m2"": 63.0, ""raw_count"": 122946, ""smoothed_count"": 60647.833333333336}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 31, ""display_order"": 3, ""elevation"": 3.22331, ""z_min"": 2.72331, ""z_max"": 3.72331, ""point_count"": 88760, ""area_m2"": 27.5, ""largest_contiguous_area_m2"": 27.5, ""related_wall_area_m2"": 7.25, ""corrected_area_m2"": 19.25, ""corrected_largest_contiguous_area_m2"": 19.25, ""raw_count"": 17360, ""smoothed_count"": 13151.5}, {""rank"": null, ""raw_surface_rank"": 3, ""peak_idx"": 56, ""display_order"": null, ""elevation"": 6.308809999999999, ""z_min"": 5.808809999999999, ""z_max"": 6.808809999999999, ""point_count"": 3834, ""area_m2"": 28.5, ""largest_contiguous_area_m2"": 18.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 936, ""smoothed_count"": 677.6666666666667}, {""rank"": 3, ""raw_surface_rank"": 4, ""peak_idx"": 20, ""display_order"": 2, ""elevation"": 1.9891100000000002, ""z_min"": 1.4891100000000002, ""z_max"": 2.48911, ""point_count"": 157443, ""area_m2"": 26.75, ""largest_contiguous_area_m2"": 14.0, ""related_wall_area_m2"": 7.25, ""corrected_area_m2"": 19.5, ""corrected_largest_contiguous_area_m2"": 5.25, ""raw_count"": 40559, ""smoothed_count"": 31721.666666666668}, {""rank"": null, ""raw_surface_rank"": 5, ""peak_idx"": 79, ""display_order"": null, ""elevation"": 9.14747, ""z_min"": 8.64747, ""z_max"": 9.64747, ""point_count"": 2184, ""area_m2"": 10.75, ""largest_contiguous_area_m2"": 6.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 432, ""smoothed_count"": 355.3333333333333}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 95, ""display_order"": null, ""elevation"": 11.24561, ""z_min"": 10.74561, ""z_max"": 11.74561, ""point_count"": 1783, ""area_m2"": 4.25, ""largest_contiguous_area_m2"": 2.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 327, ""smoothed_count"": 273.5}]"
NL.IMBAG.Pand.0363100012122448,"[-0.41061999999999993, 3.5228200000000007, 1.9248600000000002]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 1, ""display_order"": 1, ""elevation"": -0.41061999999999993, ""z_min"": -0.595, ""z_max"": 0.08938000000000007, ""point_count"": 126498, ""area_m2"": 60.25, ""largest_contiguous_area_m2"": 60.25, ""related_wall_area_m2"": 0.0, ""corrected_area_m2"": 60.25, ""corrected_largest_contiguous_area_m2"": 60.25, ""raw_count"": 89432, ""smoothed_count"": 38427.08333333333}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 32, ""display_order"": 3, ""elevation"": 3.5228200000000007, ""z_min"": 3.0228200000000007, ""z_max"": 4.022820000000001, ""point_count"": 38092, ""area_m2"": 28.5, ""largest_contiguous_area_m2"": 28.5, ""related_wall_area_m2"": 6.25, ""corrected_area_m2"": 20.25, ""corrected_largest_contiguous_area_m2"": 20.25, ""raw_count"": 12162, ""smoothed_count"": 8072.083333333334}, {""rank"": 3, ""raw_surface_rank"": 3, ""peak_idx"": 21, ""display_order"": 2, ""elevation"": 1.9248600000000002, ""z_min"": 1.4248600000000002, ""z_max"": 2.4248600000000002, ""point_count"": 82178, ""area_m2"": 25.75, ""largest_contiguous_area_m2"": 13.25, ""related_wall_area_m2"": 6.25, ""corrected_area_m2"": 19.5, ""corrected_largest_contiguous_area_m2"": 10.0, ""raw_count"": 25495, ""smoothed_count"": 17632.833333333332}, {""rank"": null, ""raw_surface_rank"": 4, ""peak_idx"": 79, ""display_order"": null, ""elevation"": 9.05422, ""z_min"": 8.55422, ""z_max"": 9.55422, ""point_count"": 2459, ""area_m2"": 13.0, ""largest_contiguous_area_m2"": 13.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 506, ""smoothed_count"": 403.50000000000006}, {""rank"": null, ""raw_surface_rank"": 5, ""peak_idx"": 57, ""display_order"": null, ""elevation"": 6.34998, ""z_min"": 5.84998, ""z_max"": 6.84998, ""point_count"": 4734, ""area_m2"": 18.5, ""largest_contiguous_area_m2"": 7.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 918, ""smoothed_count"": 788.9166666666667}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 95, ""display_order"": null, ""elevation"": 11.26678, ""z_min"": 10.76678, ""z_max"": 11.697000000000001, ""point_count"": 1273, ""area_m2"": 3.75, ""largest_contiguous_area_m2"": 2.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 255, ""smoothed_count"": 208.91666666666669}, {""rank"": null, ""raw_surface_rank"": 7, ""peak_idx"": 42, ""display_order"": null, ""elevation"": 4.629100000000001, ""z_min"": 4.129100000000001, ""z_max"": 5.129100000000001, ""point_count"": 34, ""area_m2"": 2.0, ""largest_contiguous_area_m2"": 1.0, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 10, ""smoothed_count"": 6.166666666666666}]"
NL.IMBAG.Pand.0363100012137139,"[-0.467905, 3.5061750000000003, 1.891705]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 0, ""display_order"": 1, ""elevation"": -0.467905, ""z_min"": -0.53, ""z_max"": 0.032094999999999985, ""point_count"": 119064, ""area_m2"": 61.75, ""largest_contiguous_area_m2"": 61.75, ""related_wall_area_m2"": 0.0, ""corrected_area_m2"": 61.75, ""corrected_largest_contiguous_area_m2"": 61.75, ""raw_count"": 79300, ""smoothed_count"": 36316.24999999999}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 31, ""display_order"": 3, ""elevation"": 3.5061750000000003, ""z_min"": 3.0061750000000003, ""z_max"": 4.006175000000001, ""point_count"": 48398, ""area_m2"": 30.75, ""largest_contiguous_area_m2"": 30.75, ""related_wall_area_m2"": 6.5, ""corrected_area_m2"": 23.0, ""corrected_largest_contiguous_area_m2"": 23.0, ""raw_count"": 18653, ""smoothed_count"": 10431.333333333334}, {""rank"": 3, ""raw_surface_rank"": 3, ""peak_idx"": 20, ""display_order"": 2, ""elevation"": 1.891705, ""z_min"": 1.391705, ""z_max"": 2.391705, ""point_count"": 81461, ""area_m2"": 25.5, ""largest_contiguous_area_m2"": 13.75, ""related_wall_area_m2"": 6.5, ""corrected_area_m2"": 19.0, ""corrected_largest_contiguous_area_m2"": 5.75, ""raw_count"": 24894, ""smoothed_count"": 18519.583333333332}, {""rank"": null, ""raw_surface_rank"": 4, ""peak_idx"": 56, ""display_order"": null, ""elevation"": 6.486735, ""z_min"": 5.986735, ""z_max"": 6.986735, ""point_count"": 3287, ""area_m2"": 28.75, ""largest_contiguous_area_m2"": 10.5, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 719, ""smoothed_count"": 531.6666666666667}, {""rank"": null, ""raw_surface_rank"": 5, ""peak_idx"": 78, ""display_order"": null, ""elevation"": 9.218915000000003, ""z_min"": 8.718915000000003, ""z_max"": 9.718915000000003, ""point_count"": 1469, ""area_m2"": 9.25, ""largest_contiguous_area_m2"": 5.5, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 328, ""smoothed_count"": 269.5}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 44, ""display_order"": null, ""elevation"": 4.8722650000000005, ""z_min"": 4.3722650000000005, ""z_max"": 5.3722650000000005, ""point_count"": 996, ""area_m2"": 5.75, ""largest_contiguous_area_m2"": 3.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 205, ""smoothed_count"": 184.58333333333334}, {""rank"": null, ""raw_surface_rank"": 7, ""peak_idx"": 95, ""display_order"": null, ""elevation"": 11.081765, ""z_min"": 10.581765, ""z_max"": 11.581765, ""point_count"": 1028, ""area_m2"": 3.75, ""largest_contiguous_area_m2"": 1.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 197, ""smoothed_count"": 151.58333333333334}]"
NL.IMBAG.Pand.0363100012146576,"[-0.5342199999999999, 3.17258, 1.93698, 6.38514]","[{""rank"": 1, ""raw_surface_rank"": 1, ""peak_idx"": 0, ""display_order"": 1, ""elevation"": -0.5342199999999999, ""z_min"": -0.596, ""z_max"": -0.03421999999999992, ""point_count"": 102054, ""area_m2"": 63.25, ""largest_contiguous_area_m2"": 63.25, ""related_wall_area_m2"": 0.0, ""corrected_area_m2"": 63.25, ""corrected_largest_contiguous_area_m2"": 63.25, ""raw_count"": 69703, ""smoothed_count"": 30232.166666666664}, {""rank"": 2, ""raw_surface_rank"": 2, ""peak_idx"": 31, ""display_order"": 3, ""elevation"": 3.17258, ""z_min"": 2.67258, ""z_max"": 3.67258, ""point_count"": 51414, ""area_m2"": 28.75, ""largest_contiguous_area_m2"": 28.75, ""related_wall_area_m2"": 6.75, ""corrected_area_m2"": 21.0, ""corrected_largest_contiguous_area_m2"": 21.0, ""raw_count"": 11058, ""smoothed_count"": 8795.0}, {""rank"": 4, ""raw_surface_rank"": 3, ""peak_idx"": 56, ""display_order"": 4, ""elevation"": 6.38514, ""z_min"": 5.88514, ""z_max"": 6.88514, ""point_count"": 10948, ""area_m2"": 26.5, ""largest_contiguous_area_m2"": 26.5, ""related_wall_area_m2"": 0.0, ""corrected_area_m2"": 11.0, ""corrected_largest_contiguous_area_m2"": 3.5, ""raw_count"": 2962, ""smoothed_count"": 1898.25}, {""rank"": null, ""raw_surface_rank"": 4, ""peak_idx"": 80, ""display_order"": null, ""elevation"": 9.22702, ""z_min"": 8.72702, ""z_max"": 9.72702, ""point_count"": 2634, ""area_m2"": 10.25, ""largest_contiguous_area_m2"": 10.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 511, ""smoothed_count"": 399.66666666666674}, {""rank"": 3, ""raw_surface_rank"": 5, ""peak_idx"": 21, ""display_order"": 2, ""elevation"": 1.93698, ""z_min"": 1.43698, ""z_max"": 2.43698, ""point_count"": 53035, ""area_m2"": 18.5, ""largest_contiguous_area_m2"": 8.25, ""related_wall_area_m2"": 6.75, ""corrected_area_m2"": 11.75, ""corrected_largest_contiguous_area_m2"": 3.75, ""raw_count"": 13391, ""smoothed_count"": 10442.833333333334}, {""rank"": null, ""raw_surface_rank"": 6, ""peak_idx"": 44, ""display_order"": null, ""elevation"": 4.77886, ""z_min"": 4.27886, ""z_max"": 5.27886, ""point_count"": 2475, ""area_m2"": 5.25, ""largest_contiguous_area_m2"": 3.25, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 526, ""smoothed_count"": 485.0}, {""rank"": null, ""raw_surface_rank"": 7, ""peak_idx"": 95, ""display_order"": null, ""elevation"": 11.327539999999999, ""z_min"": 10.827539999999999, ""z_max"": 11.76, ""point_count"": 1770, ""area_m2"": 4.25, ""largest_contiguous_area_m2"": 2.75, ""related_wall_area_m2"": null, ""corrected_area_m2"": null, ""corrected_largest_contiguous_area_m2"": null, ""raw_count"": 313, ""smoothed_count"": 290.0}]"
